user,churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
1,0,21,r,577.0,48,4,52,45,0,245,0,0,22,1,1,1,0,1,2,semi-monthly,0,0,0,0,pisces,0,0,56.0,1.87,0
4,0,35,r,566.0,15,0,73,15,0,199,0,0,8,1,1,1,0,1,0,semi-monthly,0,0,0,0,na,0,0,49.0,1.63,0
8,1,31,na,519.0,0,0,0,0,0,49,0,0,2,1,0,0,0,1,0,bi-weekly,0,0,0,0,virgo,0,0,18.0,0.6,1
9,0,26,na,538.8,0,0,30,0,0,56,0,0,5,1,1,1,0,1,2,weekly,0,0,0,0,sagittarius,0,0,23.0,0.77,0
10,0,33,r,558.0,0,0,76,0,0,166,0,0,8,1,0,0,0,1,0,bi-weekly,0,0,0,0,leo,1,0,45.0,1.5,1
11,0,26,r,559.0,0,0,206,0,0,304,0,0,27,1,1,1,0,1,0,bi-weekly,0,0,0,0,virgo,1,0,60.0,2.0,1
13,0,33,r,554.0,2,0,114,2,0,221,0,0,18,1,1,1,0,1,0,semi-monthly,0,0,0,0,capricorn,0,0,61.0,2.03,1
14,0,54,r,501.0,0,0,81,0,0,131,0,0,6,1,0,0,0,1,2,na,0,0,0,0,gemini,0,0,53.0,1.77,0
18,1,27,na,495.0,0,0,169,0,0,184,0,0,10,1,1,1,0,1,2,na,0,0,0,0,leo,0,0,53.0,1.77,1
19,1,28,r,500.0,0,0,11,0,0,65,0,0,0,1,0,0,0,1,0,na,0,0,0,0,cancer,0,0,37.0,1.23,1
21,0,32,r,585.0,1,0,88,1,0,214,0,0,35,1,1,1,1,1,3,bi-weekly,0,0,0,0,na,0,0,34.0,1.13,1
25,1,27,na,523.4,0,0,1,0,0,24,0,0,0,1,1,1,0,1,0,weekly,0,0,0,0,gemini,0,0,12.0,0.4,1
28,1,42,na,533.0,0,0,15,0,0,32,0,0,0,1,0,0,1,0,0,bi-weekly,0,0,0,0,cancer,1,0,13.0,0.43,0
31,0,25,r,532.0,1,1,58,1,0,179,0,0,18,1,1,1,0,1,0,bi-weekly,0,0,0,0,scorpio,0,0,47.0,1.5699999999999998,0
34,1,54,r,557.0,60,13,62,43,0,148,0,0,51,1,1,1,1,0,0,na,0,0,0,0,scorpio,0,0,40.0,1.33,1
36,1,38,na,590.0,2,0,39,2,0,64,0,0,6,1,1,1,0,1,0,na,0,0,0,0,sagittarius,0,0,26.0,0.87,1
37,1,31,r,506.2,0,0,0,0,0,115,0,0,5,1,1,1,1,0,0,bi-weekly,0,0,0,0,scorpio,1,0,35.0,1.17,0
